u,v,true_S,trial,S_prime,var_hat
99,112,1,0,-0.906434,25.708493
99,112,1,1,3.283786,22.856338
99,112,1,2,6.651954,20.954901
99,112,1,3,1.354212,23.094017
99,112,1,4,-1.351815,20.241862
99,112,1,5,0.246689,22.380978
99,112,1,6,3.569256,24.520095
99,112,1,7,-3.863574,27.134571
99,112,1,8,-4.674382,18.102745
99,112,1,9,-6.238531,21.905619
99,112,1,10,9.357980,23.807056
99,112,1,11,3.614857,20.479541
99,112,1,12,-2.630495,25.708493
99,112,1,13,-1.111947,25.946173
99,112,1,14,-3.121478,24.282415
99,112,1,15,-0.735276,19.528823
99,112,1,16,5.784300,25.946173
99,112,1,17,-0.164337,22.856338
99,112,1,18,5.418874,22.380978
99,112,1,19,-2.093912,23.094017
99,112,1,20,0.246689,22.380978
99,112,1,21,0.532159,24.044736
99,112,1,22,-3.281390,20.479541
99,112,1,23,2.301821,20.004182
99,112,1,24,5.715589,14.062191
99,112,1,25,-0.324249,19.053464
99,112,1,26,4.551221,27.372251
99,112,1,27,7.759476,21.667940
99,112,1,28,5.007848,22.856338
99,112,1,29,11.002086,21.905619
99,112,1,30,3.854725,26.183852
99,112,1,31,2.176264,22.143299
99,112,1,32,9.026910,26.183852
99,112,1,33,-0.244293,20.954901
99,112,1,34,2.050707,24.282415
99,112,1,35,-5.667592,25.233134
99,112,1,36,1.023141,25.470814
99,112,1,37,-6.489645,26.183852
99,112,1,38,5.213361,22.618658
99,112,1,39,-1.477372,22.380978
99,112,1,40,3.534900,18.578104
99,112,1,41,-2.219469,25.233134
99,112,1,42,2.336177,25.946173
99,112,1,43,2.792804,21.430260
99,112,1,44,4.185795,23.807056
99,112,1,45,-5.336522,22.856338
99,112,1,46,-3.692416,20.954901
99,112,1,47,0.737672,23.807056
99,112,1,48,7.142936,22.380978
99,112,1,49,16.585297,21.430260
99,112,1,50,-5.382123,26.896891
99,112,1,51,5.544431,20.241862
99,112,1,52,4.802335,23.094017
99,112,1,53,1.023141,25.470814
99,112,1,54,7.428405,24.044736
99,112,1,55,6.366484,19.291143
99,112,1,56,-6.603956,18.340425
99,112,1,57,3.329387,18.815784
99,112,1,58,-3.486903,20.717221
99,112,1,59,3.603611,30.462086
99,112,1,60,4.185795,23.807056
99,112,1,61,-2.915965,24.044736
99,112,1,62,-2.995921,22.143299
99,112,1,63,-2.093912,23.094017
99,112,1,64,-4.354557,25.708493
99,112,1,65,-1.191903,24.044736
99,112,1,66,5.909857,23.807056
99,112,1,67,-6.946272,30.699765
99,112,1,68,3.409343,20.717221
99,112,1,69,-0.324249,19.053464
