u,v,true_S,trial,S_prime,var_hat
99,112,1,0,21.643784,557.562371
99,112,1,1,-10.070714,533.654833
99,112,1,2,10.434001,493.808938
99,112,1,3,-12.234667,529.670244
99,112,1,4,2.008424,551.585486
99,112,1,5,16.766082,535.647128
99,112,1,6,-29.316059,571.508434
99,112,1,7,-1.379672,601.392856
99,112,1,8,-47.922285,489.824349
99,112,1,9,9.919434,531.662539
99,112,1,10,11.888380,513.731886
99,112,1,11,4.846724,487.832054
99,112,1,12,-16.722354,551.585486
99,112,1,13,22.708147,533.654833
99,112,1,14,21.803564,527.677949
99,112,1,15,-17.307377,485.839759
99,112,1,16,4.881952,539.631718
99,112,1,17,-6.097595,549.593192
99,112,1,18,-28.961271,563.539255
99,112,1,19,17.315877,549.593192
99,112,1,20,4.881952,539.631718
99,112,1,21,-10.425502,541.624012
99,112,1,22,-21.795064,507.755001
99,112,1,23,-0.705325,533.654833
99,112,1,24,23.932289,479.862875
99,112,1,25,12.438175,527.677949
99,112,1,26,41.669160,607.369740
99,112,1,27,34.397269,507.755001
99,112,1,28,21.803564,527.677949
99,112,1,29,25.741455,491.816643
99,112,1,30,19.320051,583.462203
99,112,1,31,34.787284,551.585486
99,112,1,32,14.797136,553.577781
99,112,1,33,-45.918111,523.693360
99,112,1,34,5.431747,553.577781
99,112,1,35,-2.124475,565.531550
99,112,1,36,-60.800321,621.315803
99,112,1,37,28.295424,539.631718
99,112,1,38,13.342758,533.654833
99,112,1,39,23.967517,531.662539
99,112,1,40,-0.740553,481.855169
99,112,1,41,1.813416,529.670244
99,112,1,42,37.660813,539.631718
99,112,1,43,-15.657991,527.677949
99,112,1,44,-1.609908,527.677949
99,112,1,45,-2.674271,551.585486
99,112,1,46,3.037558,475.878285
99,112,1,47,1.263620,515.724181
99,112,1,48,2.558219,565.531550
99,112,1,49,48.995147,521.701065
99,112,1,50,25.776683,543.616307
99,112,1,51,-4.483437,539.631718
99,112,1,52,13.342758,533.654833
99,112,1,53,2.363211,543.616307
99,112,1,54,33.882701,545.608602
99,112,1,55,19.994398,515.724181
99,112,1,56,-1.999924,483.847464
99,112,1,57,-7.587201,477.870580
99,112,1,58,4.846724,487.832054
99,112,1,59,22.743375,585.454497
99,112,1,60,20.384414,559.554665
99,112,1,61,-31.870028,523.693360
99,112,1,62,-21.015033,595.415971
99,112,1,63,-27.861680,591.431382
99,112,1,64,-20.660245,587.446792
99,112,1,65,9.209859,547.600897
99,112,1,66,46.831194,517.716475
99,112,1,67,27.975865,599.400561
99,112,1,68,-5.778035,489.824349
99,112,1,69,38.015600,531.662539
99,112,1,70,-9.166131,539.631718
99,112,1,71,26.486258,527.677949
99,112,1,72,24.872100,537.639423
99,112,1,73,21.129217,595.415971
99,112,1,74,-50.725357,605.377445
99,112,1,75,37.306025,547.600897
99,112,1,76,-3.224066,537.639423
99,112,1,77,14.992144,575.493024
99,112,1,78,-34.583777,505.762707
99,112,1,79,51.744124,591.431382
99,112,1,80,-5.033232,525.685654
99,112,1,81,-9.166131,539.631718
99,112,1,82,-7.746981,507.755001
99,112,1,83,-14.593629,503.770412
99,112,1,84,-5.228240,503.770412
99,112,1,85,-8.811344,531.662539
99,112,1,86,-4.323657,509.747296
99,112,1,87,-11.170305,505.762707
99,112,1,88,-1.060113,541.624012
99,112,1,89,-35.683367,477.870580
99,112,1,90,-13.848825,539.631718
99,112,1,91,8.855071,555.570076
99,112,1,92,-12.234667,529.670244
99,112,1,93,12.118616,587.446792
99,112,1,94,-12.234667,529.670244
99,112,1,95,5.041732,509.747296
99,112,1,96,-6.132823,497.793528
99,112,1,97,-1.645136,475.878285
99,112,1,98,-5.937815,519.708770
99,112,1,99,27.160605,459.939927
99,112,1,100,15.826271,477.870580
99,112,1,101,-27.027554,493.808938
99,112,1,102,9.564646,539.631718
99,112,1,103,7.045905,543.616307
99,112,1,104,15.311703,515.724181
99,112,1,105,-9.006351,509.747296
99,112,1,106,-6.292603,527.677949
99,112,1,107,-21.050261,543.616307
99,112,1,108,2.487763,461.932222
99,112,1,109,25.386667,499.785822
99,112,1,110,21.768336,475.878285
99,112,1,111,1.813416,529.670244
99,112,1,112,-8.651564,501.778117
99,112,1,113,-5.228240,503.770412
99,112,1,114,4.881952,539.631718
99,112,1,115,-47.727277,511.739591
99,112,1,116,24.127297,501.778117
99,112,1,117,12.828191,571.508434
99,112,1,118,-5.388020,533.654833
99,112,1,119,-19.985898,519.708770
99,112,1,120,-4.483437,539.631718
99,112,1,121,-10.070714,533.654833
99,112,1,122,31.009173,557.562371
99,112,1,123,23.612730,539.631718
99,112,1,124,-9.910934,503.770412
99,112,1,125,-7.356965,551.585486
99,112,1,126,2.877778,505.762707
99,112,1,127,45.376815,497.793528
99,112,1,128,1.813416,529.670244
99,112,1,129,23.417722,517.716475
99,112,1,130,25.776683,543.616307
99,112,1,131,18.025452,533.654833
99,112,1,132,-48.082064,519.708770
99,112,1,133,-1.804916,505.762707
99,112,1,134,-1.255121,519.708770
99,112,1,135,2.008424,551.585486
99,112,1,136,-30.060862,535.647128
99,112,1,137,9.050079,577.485318
99,112,1,138,-23.249442,487.832054
99,112,1,139,-41.005181,597.408266
99,112,1,140,2.717999,535.647128
99,112,1,141,27.036053,541.624012
99,112,1,142,5.946315,515.724181
99,112,1,143,-28.446704,525.685654
99,112,1,144,43.017854,471.893696
99,112,1,145,-5.068460,473.885990
99,112,1,146,29.359787,515.724181
99,112,1,147,-23.959017,503.770412
99,112,1,148,18.575248,547.600897
99,112,1,149,7.365465,483.847464
99,112,1,150,-3.259294,485.839759
99,112,1,151,-21.600056,529.670244
99,112,1,152,37.111017,525.685654
99,112,1,153,-11.844652,573.500729
99,112,1,154,-6.132823,497.793528
99,112,1,155,7.755481,527.677949
99,112,1,156,-38.716676,519.708770
99,112,1,157,7.205685,513.731886
99,112,1,158,-13.884054,487.832054
99,112,1,159,21.058761,491.816643
99,112,1,160,12.757734,467.909106
99,112,1,161,0.713825,501.778117
99,112,1,162,26.841046,519.708770
99,112,1,163,3.587353,489.824349
99,112,1,164,8.465056,511.739591
99,112,1,165,28.065188,465.916811
99,112,1,166,-16.917362,529.670244
99,112,1,167,-23.764010,525.685654
99,112,1,168,1.618408,507.755001
99,112,1,169,22.743375,585.454497
99,112,1,170,-35.807919,559.554665
99,112,1,171,15.896727,581.469908
99,112,1,172,-8.491784,471.893696
99,112,1,173,-0.865105,563.539255
99,112,1,174,11.178804,529.670244
99,112,1,175,-4.518665,487.832054
99,112,1,176,7.045905,543.616307
99,112,1,177,7.240913,565.531550
99,112,1,178,2.363211,543.616307
99,112,1,179,15.151924,545.608602
99,112,1,180,9.724426,509.747296
99,112,1,181,23.577501,487.832054
99,112,1,182,-9.751155,473.885990
99,112,1,183,-62.644715,557.562371
99,112,1,184,-38.876455,549.593192
99,112,1,185,-8.740887,635.261867
99,112,1,186,0.359037,509.747296
99,112,1,187,43.443098,567.523844
99,112,1,188,-16.562574,521.701065
99,112,1,189,41.279144,563.539255
99,112,1,190,32.108764,585.454497
99,112,1,191,18.025452,533.654833
99,112,1,192,8.110268,519.708770
99,112,1,193,-5.263468,451.970748
99,112,1,194,-5.902587,571.508434
99,112,1,195,-38.521668,541.624012
99,112,1,196,-43.239590,489.824349
99,112,1,197,-25.927963,521.701065
99,112,1,198,-7.551973,529.670244
99,112,1,199,-35.843147,507.755001
99,112,1,200,2.913006,557.562371
99,112,1,201,14.602128,531.662539
99,112,1,202,43.922437,477.870580
99,112,1,203,-29.316059,571.508434
99,112,1,204,-32.774611,517.716475
99,112,1,205,16.571074,513.731886
99,112,1,206,15.436255,434.040095
99,112,1,207,27.036053,541.624012
99,112,1,208,4.881952,539.631718
99,112,1,209,-0.155530,547.600897
99,112,1,210,27.745629,525.685654
99,112,1,211,10.309450,575.493024
99,112,1,212,46.831194,517.716475
99,112,1,213,-24.668593,519.708770
99,112,1,214,24.517313,545.608602
99,112,1,215,29.519566,485.839759
99,112,1,216,-15.977551,587.446792
99,112,1,217,-2.354711,491.816643
99,112,1,218,-21.245269,521.701065
99,112,1,219,9.919434,531.662539
99,112,1,220,3.232566,497.793528
99,112,1,221,-12.199439,581.469908
99,112,1,222,1.813416,529.670244
99,112,1,223,-23.569002,547.600897
99,112,1,224,29.909582,529.670244
99,112,1,225,-16.367566,543.616307
99,112,1,226,1.103841,545.608602
99,112,1,227,-11.330084,535.647128
99,112,1,228,-2.319483,543.616307
99,112,1,229,12.633183,549.593192
99,112,1,230,6.815670,469.901401
99,112,1,231,35.071616,440.016979
99,112,1,232,21.253768,513.731886
99,112,1,233,-6.682618,483.847464
99,112,1,234,-19.985898,519.708770
99,112,1,235,-49.181655,491.816643
99,112,1,236,-12.554227,589.439087
99,112,1,237,-25.927963,521.701065
99,112,1,238,-22.309631,545.608602
99,112,1,239,-19.471331,481.855169
99,112,1,240,-9.751155,473.885990
99,112,1,241,67.761153,573.500729
99,112,1,242,18.380240,525.685654
99,112,1,243,15.861499,529.670244
99,112,1,244,7.560473,505.762707
99,112,1,245,9.564646,539.631718
99,112,1,246,18.770255,569.516139
99,112,1,247,65.402191,547.600897
99,112,1,248,29.004999,523.693360
99,112,1,249,-21.795064,507.755001
99,112,1,250,19.125043,561.546960
99,112,1,251,16.216286,521.701065
99,112,1,252,-56.542870,525.685654
99,112,1,253,-28.836720,481.855169
99,112,1,254,8.305276,541.624012
99,112,1,255,0.394266,561.546960
99,112,1,256,3.267794,549.593192
99,112,1,257,-52.764759,519.708770
99,112,1,258,-28.801491,533.654833
99,112,1,259,-18.566748,487.832054
99,112,1,260,-22.664419,553.577781
99,112,1,261,-1.060113,541.624012
99,112,1,262,-14.043833,517.716475
99,112,1,263,-46.467906,509.747296
99,112,1,264,-15.267976,571.508434
99,112,1,265,-9.201359,487.832054
99,112,1,266,30.494605,595.415971
99,112,1,267,5.946315,515.724181
99,112,1,268,-8.456556,523.693360
99,112,1,269,11.019025,559.554665
99,112,1,270,59.814914,541.624012
99,112,1,271,-33.164626,473.885990
99,112,1,272,-2.159704,513.731886
99,112,1,273,-11.879880,521.701065
99,112,1,274,-9.361139,517.716475
99,112,1,275,10.309450,575.493024
99,112,1,276,-5.388020,533.654833
99,112,1,277,-15.303204,519.708770
99,112,1,278,17.475657,519.708770
99,112,1,279,1.973195,499.785822
99,112,1,280,-6.292603,527.677949
99,112,1,281,16.730854,483.847464
99,112,1,282,20.189406,537.639423
99,112,1,283,2.008424,551.585486
99,112,1,284,-1.414900,549.593192
99,112,1,285,36.525994,459.939927
99,112,1,286,23.222714,495.801233
99,112,1,287,-21.405048,551.585486
99,112,1,288,8.855071,555.570076
99,112,1,289,49.190155,543.616307
99,112,1,290,22.158351,519.708770
99,112,1,291,-32.739383,569.516139
99,112,1,292,7.205685,513.731886
99,112,1,293,18.930035,539.631718
99,112,1,294,37.306025,547.600897
99,112,1,295,15.346932,567.523844
99,112,1,296,-42.494787,525.685654
99,112,1,297,-15.693219,475.878285
99,112,1,298,5.396519,501.778117
99,112,1,299,-18.016953,501.778117
99,112,1,300,23.222714,495.801233
99,112,1,301,22.903154,555.570076
99,112,1,302,-17.821945,523.693360
99,112,1,303,2.913006,557.562371
99,112,1,304,-22.504639,523.693360
99,112,1,305,3.072786,527.677949
99,112,1,306,40.889129,519.708770
99,112,1,307,-25.147932,609.362035
99,112,1,308,34.397269,507.755001
99,112,1,309,17.475657,519.708770
99,112,1,310,24.482084,493.808938
99,112,1,311,7.595701,557.562371
99,112,1,312,29.749802,559.554665
99,112,1,313,-3.614082,493.808938
99,112,1,314,-34.583777,505.762707
99,112,1,315,-12.589455,537.639423
99,112,1,316,-6.807170,565.531550
99,112,1,317,-28.056688,569.516139
99,112,1,318,-8.136997,463.924517
99,112,1,319,41.243916,511.739591
99,112,1,320,-18.176732,531.662539
99,112,1,321,10.629009,515.724181
99,112,1,322,17.315877,549.593192
99,112,1,323,-5.742807,541.624012
99,112,1,324,14.956916,523.693360
99,112,1,325,10.824017,537.639423
99,112,1,326,16.606302,565.531550
99,112,1,327,-8.066540,567.523844
99,112,1,328,-13.848825,539.631718
99,112,1,329,6.691118,551.585486
99,112,1,330,28.845219,553.577781
99,112,1,331,-51.665168,547.600897
99,112,1,332,-19.631111,511.739591
99,112,1,333,-14.398621,525.685654
99,112,1,334,-3.029058,559.554665
99,112,1,335,-4.483437,539.631718
99,112,1,336,14.797136,553.577781
99,112,1,337,14.442349,561.546960
99,112,1,338,20.703973,499.785822
99,112,1,339,17.475657,519.708770
99,112,1,340,-18.371740,509.747296
99,112,1,341,17.120869,527.677949
99,112,1,342,-6.842398,513.731886
99,112,1,343,19.834618,545.608602
99,112,1,344,-22.114623,567.523844
99,112,1,345,50.254518,519.708770
99,112,1,346,29.874354,477.870580
99,112,1,347,16.766082,535.647128
99,112,1,348,-28.091916,517.716475
99,112,1,349,-11.525092,513.731886
99,112,1,350,-26.087743,551.585486
99,112,1,351,-37.422077,569.516139
99,112,1,352,-17.821945,523.693360
99,112,1,353,23.612730,539.631718
99,112,1,354,-62.644715,557.562371
99,112,1,355,3.267794,549.593192
99,112,1,356,33.173126,561.546960
99,112,1,357,-3.773862,523.693360
99,112,1,358,27.745629,525.685654
99,112,1,359,-24.313805,511.739591
99,112,1,360,13.147750,511.739591
99,112,1,361,-4.838224,547.600897
99,112,1,362,17.120869,527.677949
99,112,1,363,31.878528,511.739591
99,112,1,364,14.247341,539.631718
99,112,1,365,8.500284,563.539255
99,112,1,366,7.720252,475.878285
99,112,1,367,10.788789,485.839759
99,112,1,368,-6.132823,497.793528
99,112,1,369,-21.245269,521.701065
99,112,1,370,13.502538,503.770412
99,112,1,371,-0.510317,555.570076
99,112,1,372,-19.276323,503.770412
99,112,1,373,25.457124,603.385150
99,112,1,374,-39.976046,521.701065
99,112,1,375,-10.230494,563.539255
99,112,1,376,-47.337261,555.570076
99,112,1,377,-11.720100,491.816643
99,112,1,378,22.318131,489.824349
99,112,1,379,-12.944242,545.608602
99,112,1,380,14.087561,569.516139
99,112,1,381,2.008424,551.585486
99,112,1,382,-9.166131,539.631718
99,112,1,383,0.749053,553.577781
99,112,1,384,-24.313805,511.739591
99,112,1,385,-0.900333,511.739591
99,112,1,386,-4.448209,591.431382
99,112,1,387,-10.620509,519.708770
99,112,1,388,41.279144,563.539255
99,112,1,389,-14.363393,577.485318
99,112,1,390,13.857325,495.801233
99,112,1,391,-29.316059,571.508434
99,112,1,392,16.766082,535.647128
99,112,1,393,14.442349,561.546960
99,112,1,394,28.455204,509.747296
99,112,1,395,18.060680,585.454497
99,112,1,396,30.229141,469.901401
99,112,1,397,23.932289,479.862875
99,112,1,398,-38.486440,593.423676
99,112,1,399,9.884206,479.862875
99,112,1,400,-8.066540,567.523844
99,112,1,401,29.554794,537.639423
99,112,1,402,-5.228240,503.770412
99,112,1,403,10.469229,545.608602
99,112,1,404,0.199258,539.631718
99,112,1,405,-9.361139,517.716475
99,112,1,406,-6.097595,549.593192
99,112,1,407,-27.382341,501.778117
99,112,1,408,-54.893484,567.523844
99,112,1,409,-1.609908,527.677949
99,112,1,410,8.465056,511.739591
99,112,1,411,9.884206,479.862875
99,112,1,412,-30.770437,551.585486
99,112,1,413,2.522991,513.731886
99,112,1,414,4.846724,487.832054
99,112,1,415,-14.238841,495.801233
